,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140
0,<START>_START,Agus_conj,ba_cop,mhó_adj,go_par,mór_adj,an_det,tóir_noun,a_voc,bhí_vb.past,ar_pos,fhíon_noun,ná_conj,mar_sconj,atá_vb.pres,anois_adv,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,<START>_START,Bé_cop,seanathair_noun,Sairséalaigh_prop,Luimní_prop,a_rel,dheartháir_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,<START>_START,Deir_vb.pres,rúnaí_noun,an_det,Tiarna_prop,Mountjoy_prop,sa_prep,16ú_noun,aois_noun,``_pun,má_sconj,dhíolann_vb.pres,aon_adv,Éireannach_adj,bó_noun,nó_conj,capall_noun,",_pun",nach_comp,bhfilleann_vb.sub,abhaile_adv,go_comp,gcaitear_noun,a_rel,luach_noun,ar_rel,fhíon_noun,(_pun,ar_prep,a_pos,dtugann_vb.pres,siad_sub,``_pun,iníon_noun,rí_noun,na_par,Spáinne_prop,''_pun,)_pun,nó_conj,ar_rel,uisce_noun,beatha_adj,._pun,''_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,<START>_START,Bhí_vb.past,gach_qual,bean_noun,sa_prep,gcathair_noun,in_prep,ann_prep,roinnt_noun,bribhéireachta_pun,a_voc,dhéanamh_vn,agus_conj,díoltaí_rel,é_obj,ar_prep,dhá_num,phingin_noun,an_det,cárt_prop,—_pun,dhá_num,oiread_noun,an_det,luach_noun,Londain_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,<START>_START,cuir_vb.ord.syn,i_prep,gcás_noun,",_pun",ag_prep,an_det,bpobal_noun,a_voc,tháinig_vb.past,ag_prep,freastal_vn,ar_prep,Eaglais_prop,Chríost_prop,",_pun",go_par,háirithe_adj,sa_prep,lána_noun,ar_prep,ar_prep,baistíodh_noun,``_pun,Ifreann_noun,._pun,''_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,<START>_START,(_pun,Ba_cop,'fhéidir_noun,go_comp,raibh_vb.sub,an_det,dochtúir_noun,ró-mhuiníneach_pun,nuair_sconj,nar_comp,shamhlaigh_vb.pres,sé_sub,aon_adv,chontúirt_noun,go_comp,bpléascfaí_vb.pres,cléir_noun,agus_conj,pobal_noun,frí_prep,chéile_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,<START>_START,Bhí_vb.past,tábhairne_noun,cáiliúil_adj,i_prep,gclós_prop,Eaglais_prop,Chríost_prop,i_prep,ré_noun,na_par,Bainríona_prop,Anne_prop,",_pun",na_noun,``_pun,Cros-eochracha_END,''_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,<START>_START,Do_par,'ordaigh_prop,sé_sub,don_prep,bhfo-dheán_noun,agus_conj,do_prep,na_det,canónaigh_noun,pionós_noun,a_voc,ghearradh_vn,ar_prep,aon_qual,duine_noun,den_prep,mhionchléir_noun,a_voc,bheadh_vb.con,páirteach_adj,sa_prep,gcumann_noun,",_pun",pionós_noun,de_prep,réir_prep,``_pun,their_vb.past,disobedience_sub,._pun,''_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,<START>_START,Bhí_vb.past,teach_noun,eile_adj,in_prep,aice_prep,leis_prep,",_pun",``_pun,Dick_prop,'s_prop,",_pun",''_pun,a_voc,raibh_vb.sub,baint_vn,aige_prep,le_prep,eachtra_noun,staire_noun,freisin_adv,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,<START>_START,In_prep,aimsir_noun,Shéarlais_prop,Lucas_prop,thagadh_vb.pasthab,``_pun,saoránaigh_noun,neamhspleácha_adj,na_det,cathrach_noun,''_pun,le_prep,chéile_noun,ag_prep,dinnéir_noun,cheithre_num,uaire_noun,sa_prep,mbliain_noun,sa_prep,``_pun,Féinics_prop,''_pun,a_voc,bhí_vb.past,ag_prep,Séamas_prop,Ó_prop,hEocha_prop,i_prep,Sráid_noun,Werburg_prop,agus_conj,áit_noun,mhór_adj,polaitíochta_adj,eile_adj,ab_cop,ea_obj,an_par,``_pun,Globe_prop,''_pun,i_prep,Sráid_noun,Essex_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,<START>_START,Lucht_noun,fiacha_noun,ab_cop,ea_obj,furmhór_noun,na_det,bpríosúnach_noun,agus_conj,níl_vb.pres,inseacht_noun,scéil_noun,ar_prep,an_det,drochíde_noun,a_rel,do_par,'fhághaidís_prop,ann_prep,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,<START>_START,Níor_neg,samhlaíodh_vb.past.aut,dó_prep,Céitinn_prop,agus_conj,ar_pos,imigh_vb.ord.syn,roimhe_prep,a_eng,bheith_vn,marbh_adj,ar_rel,nós_noun,na_par,Laidne_prop,agus_conj,na_par,Gréigise_prop,",_pun",fé_prep,mar_sconj,samhlaíodh_vb.con,is_cop,cosúil_adj,don_prep,dream_noun,a_voc,bhí_vb.past,ina_prep,éadan_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,<START>_START,An_par,cathaoirleach_prop,cuir_vb.ord.syn,i_prep,gcás_noun,",_pun",ní_cop,hé_obj,amháin_adv,gur_comp,breitheamh_noun,é_obj,agus_conj,go_comp,bhfuil_vb.pres,spéis_noun,aige_prep,sna_prep,saor-ealaíona_det,ach_conj,de_prep,bharr_noun,a_rel,thaithí_noun,mar_conj,chathaoirleach_noun,ar_prep,an_det,gCoiste_noun,um_prop,Chóiríochta_prop,na_par,hOlIscoile_prop,tá_vb.pres,eolas_noun,aige_prep,ar_pos,chuid_noun,de_prep,na_det,ceisteanna_noun,a_voc,bheas_vb.fut.spec,le_prep,scrúdú_vn,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,<START>_START,Ba_cop,'fhéidir_noun,gurb_cop,é_obj,príomhlocht_prep,an_det,Choimisiúin_prop,ná_conj,líon_noun,na_det,mball_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,<START>_START,agus_conj,na_par,hiar-ardstátsheirbhísigh_prop,",_pun",Mac_prop,Uí_prop,Dhiomsaigh_prop,agus_sconj,S._prop,S._prop,Mac_prop,Uileagóid_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,<START>_START,Dearfá_vb.past,go_comp,raibh_vb.sub,an_det,rialtas_noun,ag_prep,leamh_vn,leabhair_noun,an_det,Ollamh_prop,Carter_prop,faoi_prep,chur_vn,chun_prep,cinn_noun,fionnachtain_pun,agus_conj,gur_comp,chuaigh_vb.past,sé_sub,i_prep,bhfeidhm_noun,orthu_prep,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,<START>_START,É_obj,ag_prep,smaoineadh_vn,ar_prep,an_det,mbaile_noun,agus_conj,ag_prep,tnúth_vn,leis_prep,an_det,nóiméad_noun,bhfeicidh_noun,sé_sub,coinneal_noun,na_par,Nollag_prop,ag_prep,lasadh_vn,mar_conj,threoir_noun,dó_prep,i_prep,bhfuinneoig_noun,a_rel,thí_vn,fhéin_adj,",_pun",agus_conj,é_obj,leathshúgach_pun,",_pun",ba_cop,'fhéidir_noun,",_pun",ag_prep,déanamh_vn,aníos_adv,an_det,bhoithrín_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
