,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0,<START>_START,Déanfar_vb.fut.aut,grianghraf_noun,álainn_adj,de_prep,agus_conj,beidh_vb.fut,Bord_prop,Fáilte_prop,mórálach_adj,as_prep,traidisiún_noun,iascaireachta_noun,na_par,hÉireann_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,<START>_START,Báidín_noun,áiféiseach_noun,é_obj,an_det,curach_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,<START>_START,Arís_adv,is_cop,arís_adv,eile_adj,scuabadh_noun,foireann_noun,báid_noun,do_prep,'fhir_noun,óga_adj,ar_prep,siúl_vn,ag_prep,tonn_noun,mór_adj,aniar_adv,aduaidh_adv,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,<START>_START,Feicim_vb.ord.syn,iad_obj,á_prep,n-úsáid_noun,le_prep,``_pun,outboard_END,''_pun,idir_prep,na_det,hoileáin_noun,agus_conj,an_det,mórthír_noun,nó_conj,ag_prep,daoine_noun,a_voc,bhíonn_vb.preshab,ag_prep,iascaireacht_noun,gliomach_pun,ach_conj,tá_vb.pres,an_det,lá_noun,thart_adv,go_comp,raibh_vb.sub,cuid_noun,mhór_adj,den_prep,iascaireacht_noun,",_pun",á_prep,dhéanamh_vn,iontu_prep,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,<START>_START,Tá_vb.pres,sin_dem,le_prep,sonrú_noun,i_prep,rudaí_noun,beaga_adj,",_pun",ar_rel,nós_noun,an_det,ró-urraim_noun,atá_vb.pres,acu_prep,do_prep,réamhaisnéis_noun,na_det,haimsire_noun,",_pun",i_prep,gcomórtas_noun,le_prep,hiascairí_noun,tíortha_noun,eile_adj,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,<START>_START,Is_cop,féidir_noun,le_prep,captaen_noun,ar_prep,leis_prep,a_pos,bhád_noun,féin_adj,os_prep,cionn_noun,an_par,£_sym,33_num,",_pun",",000_num",p.a_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,<START>_START,Ceann_noun,de_prep,na_det,gnéithe_noun,is_cop,sásúla_adj,den_prep,iascaireacht_noun,in_prep,Éirinn_prop,inniu_adv,an_det,tslí_noun,ar_rel,féidir_noun,le_prep,fear_noun,óg_adj,luach_noun,báid_noun,(_pun,£_sym,220_num,",_pun",",000_num",—_pun,£_sym,660_num,",_pun",",000_num",)_pun,a_voc,fháil_vn,ar_rel,iasacht_noun,ón_prep,Stáit_prop,gan_prep,de_prep,bhannaí_noun,aige_prep,ach_conj,an_det,bhun-íocaíocht_noun,agus_conj,a_rel,chumas_noun,féin_adj,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,<START>_START,Tá_vb.pres,tuilleadh_noun,fós_adv,le_prep,chur_vn,i_prep,gcrích_noun,acu_prep,sna_prep,cúrsaí_noun,seo_dem,ach_conj,déanfar_vb.fut.aut,sin_dem,de_prep,réir_prep,a_pos,chéile_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,<START>_START,Foghlaithe_cop,mara_noun,iad_obj,cuid_noun,de_prep,na_det,heachtranaigh_noun,seo_dem,gur_comp,chuma_noun,",_pun",leo_prep,ró-iascaireacht_noun,a_voc,dhéanamh_vn,áit_noun,ar_rel,bith_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,<START>_START,Tá_vb.pres,an_det,iomarca_noun,ag_prep,brath_noun,air_prep,",_pun",ní_neg,i_prep,dtéarmaí_noun,airgid_noun,ach_conj,i_prep,dtéarmaí_noun,daoine_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,<START>_START,Cuir_vb.ord.syn,le_prep,sin_dem,líon_noun,na_par,ndéantús_prop,a_prop,do_pos,'fhéadfaí_vb.past,a_rel,bhunú_vn,ar_prep,an_det,iascaireacht_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,<START>_START,Ní_cop,mór_adj,dúinn_prep,",_pun",inár_prep,bplé_vn,le_prep,baill_noun,an_det,Chomhareaidh_prop,",_pun",cos_noun,a_rel,chur_vn,i_prep,dtalamh_noun,ag_prep,poinnte_noun,áirithe_adj,",_pun",ag_prep,tabhairt_vn,le_prep,fios_noun,go_comp,bhfuil_vb.pres,rudaí_noun,ann_prep,nach_comp,ngéillúmid_vb.sub,fiú_adv,ar_rel,chostas_noun,ballraíocht_noun,an_det,Chomhphobail_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,<START>_START,Má_sconj,tá_vb.pres,costas_noun,na_det,seirbhíse_noun,ag_prep,méadú_vn,in_prep,aghaidh_noun,na_det,bliana_noun,",_pun",ó_prep,thaobh_noun,pá_noun,ach_conj,go_par,háirithe_adj,—_pun,rud_noun,nach_comp,féidir_noun,a_rel,shéanadh_vb.pasthab,—_pun,nach_cop,ar_prep,an_det,Roinn_prop,Poist_prop,agus_sconj,Telegrafa_prop,atá_vb.pres,an_det,dualgas_noun,gan_prep,an_det,costas_noun,sin_dem,a_rel,sheoladh_vn,ar_rel,aghaidh_noun,chun_prep,an_det,phobail_noun,?_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,<START>_START,Tá_vb.pres,go_par,leor_adj,bealaí_noun,timpeall_adv,ar_prep,an_det,bhfadhb_noun,",_pun",ach_conj,iad_obj,a_eng,lorg_vn,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,<START>_START,Mar_prep,shampla_noun,",_pun",bheimis_vb.con.syn,ag_prep,súil_vn,le_prep,feabhsú_noun,ar_prep,sheirbhísí_noun,craolta_adj,dá_prep,mbeadh_vb.con,costas_noun,ceadúnais_prep,radio_noun,agus_conj,telefís_noun,á_prep,``_pun,chothromú_END,''_pun,le_prep,leibhéal_noun,na_det,Mór_noun,Roinne_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,<START>_START,Ní_neg,fiú_adv,dul_vn,i_prep,bhfad_noun,scéal_noun,leis_prep,—_pun,tá_vb.pres,a_pos,chuid_noun,gearán_noun,féin_adj,agus_conj,a_rel,shamplaí_noun,ag_prep,gach_qual,éinne_noun,againn_prep,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,<START>_START,Ocáid_vb.pres,ar_pos,leith_noun,í_obj,seo_dem,agus_conj,is_cop,maith_adj,an_det,rud_noun,nach_comp,faoi_prep,scáth_noun,aon_qual,cheann_noun,de_prep,na_det,heagrais_prop,Ghaeilge_prop,atá_vb.pres,sé_sub,nó_conj,bheadh_vb.con,dhá_num,scoil_noun,agat_prep,agus_noun,gan_prep,cuma_noun,",_pun",ná_conj,caoi_noun,ar_rel,cheachtar_noun,acu_prep,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,<START>_START,Ba_cop,'fhéidir_noun,nach_comp,bhfuil_vb.pres,a_pos,leithéid_noun,de_prep,``_pun,happening_END,''_pun,chomh_adv,scoláiriúil_prep,le_prep,píosa_noun,báirseoireachta_noun,faoi_prep,chúigeachas_noun,ag_prep,cruinniú_vn,de_prep,Chumann_prop,na_par,Scríbhneoirí_prop,ach_conj,tá_vb.pres,sé_sub,i_prep,bhfad_noun,Éirinn_prop,níos_adj,bríomhaire_prep,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,<START>_START,Is_cop,amhlaidh_adv,a_pos,bhí_vb.past,ceanna_sub,rannóige_prep,agus_conj,bainisteoirí_noun,áirithe_adj,chomh_adv,dúlaí_prep,sin_dem,i_prep,ndílseacht_noun,don_prep,bhainistíocht_noun,(_pun,pé_adj,ní_cop,é_obj,sin_dem,nuair_sconj,bhíonn_vb.preshab,sé_sub,sa_prep,mbaile_noun,)_pun,a_voc,chruthú_vn,go_comp,raibh_vb.sub,siad_sub,ag_prep,dul_vn,suas_adv,ar_prep,a_pos,chéile_noun,ag_prep,brú_noun,cnaipí_pun,agus_conj,ag_prep,fíochán_noun,scannáin_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,<START>_START,Rud_noun,amháin_adv,atá_vb.pres,cinnte_adj,",_pun",beidh_vb.fut,lán_noun,a_rel,gcraois_vn,do_prep,'fhógraíocht_noun,faighte_adj,ag_prep,pobal_noun,na_par,hÉireann_prop,faoin_prep,am_noun,sin_dem,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,<START>_START,Seo_dem,scéal_noun,fíor_adj,i_prep,dtaobh_noun,rud_noun,a_voc,tharla_vb.past,do_par,dhlúth-chara_prop,liom_prep,le_prep,gairid_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,<START>_START,Thug_vb.past,an_det,litir_noun,le_prep,fios_noun,dó_prep,go_comp,raibh_vb.sub,sé_sub,oiread_noun,seo_dem,i_prep,bhfiacha_noun,leis_prep,an_det,mbanc_noun,agus_conj,gur_cop,mhaith_adj,leis_prep,an_det,mbainisteoir_noun,é_obj,fheiceáil_vn,``_pun,ar_prep,a_rel,chaoithiúlacht_vn,''_pun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,<START>_START,Ní_neg,raibh_vb.sub,an_det,bainisteoir_noun,ar_prep,fáil_vn,ach_conj,bhuail_vb.past,sé_sub,le_prep,oifigeach_noun,sóisearach_adj,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
