,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,<START>_START,Má_sconj,ghlactar_vb.past.syn,leis_prep,seo_dem,",_pun",is_cop,féidir_noun,a_voc,rá_vn,go_cop,bhfuil_vb.pres,an_det,formhór_noun,mór_adj,díobh_prep,siúd_dem,atá_vb.pres,beo_adj,faoin_prep,gcóras_noun,caipitlíoch_adj,ar_rel,chaighdeán_noun,an-íseal_noun,maireachtála_noun,",_pun",i_prep,gcomparáid_noun,leis_prep,na_det,tíortha_noun,sóisialacha_sub,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,<START>_START,Ré_noun,an_det,Choilíneachais_prop,Thosaigh_vb.past,Ré_noun,an_det,Choilíneachais_prop,roimh_prep,don_prep,chóras_noun,caipitlíoch_adj,teacht_vn,chun_prep,tosaigh_vb.ord.syn,go_comp,hiomlán_adj,in_prep,Iarthar_prop,na_par,hEorpa_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,<START>_START,Is_cop,beag_adj,iarracht_noun,a_voc,dhein_vb.past,siad_sub,chun_prep,na_det,córais_noun,áitiúla_adj,eacnamaíocha_noun,a_voc,athrú_vn,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,<START>_START,Theastaigh_vb.past,uathu_prep,",_pun",go_comp,háirithe_adj,",_pun",go_comp,n-úsáidfí_adj,na_det,coilíneachtaí_noun,chun_prep,táirgí_noun,a_voc,fháil_vn,nach_cop,raibh_vb.sub,le_prep,fáil_vn,cheana_adv,féin_adj,sa_prep,bhaile_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,<START>_START,Is_cop,ag_prep,an_det,am_noun,seo_dem,a_voc,cuireadh_vb.ord,tús_noun,leis_prep,an_det,gcóras_noun,plandála_dem,—_pun,i_prep,dtosach_noun,sna_prep,hoileáin_noun,bheaga_noun,in_prep,oirthear_vb.pres.aut,Mhuir_prop,Chairib_prop,—_pun,agus_conj,siúcra_prop,á_prep,tháirgeadh_noun,acu_prep,;_pun,ina_prep,dhiaidh_prep,sin_dem,",_pun",leathnaigh_END,an_det,córas_noun,go_comp,dtí_noun,na_det,hoileáin_noun,mhóra_adj,sa_prep,Mhuir_prop,Chairib_prop,agus_sconj,go_par,dtí_noun,mórthír_prop,Mheiriceá_prop,féin_adj,—_pun,thuaidh_adv,",_pun",lár_noun,agus_conj,theas_noun,—_pun,agus_conj,bhí_vb.past,raon_adj,níos_adj,mó_pos,táirgí_noun,i_prep,gceist_noun,—_pun,cadás_END,agus_sconj,tabac_vb.past.spec,go_comp,háirithe_adj,._pun,<END>_END,,,,,,,,,,,,,,,,,
5,<START>_START,An_prop,Réabhlóid_prop,Thionsclaíoch_prop,Céim_prop,mhór_adj,chun_prep,tosaigh_vb.ord.syn,i_prep,bpróiséas_noun,an_par,choilínithe_prop,ba_cop,ea_obj,an_det,Réabhlóid_prop,Thionsclaíoch_prop,a_voc,thosaigh_vb.past,sa_prep,Bhreatain_prop,ag_prep,deireadh_vb.pasthab,an_det,18ú_adj,aois_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,<START>_START,Is_cop,é_obj,an_det,tábhacht_noun,a_voc,bhaineann_vb.pres,leis_prep,an_det,struchtúr_noun,seo_dem,ná_par,go_par,bhfuil_vb.pres,saibhreas_noun,na_det,dtíortha_noun,forbartha_adj,bunaithe_adj,ar_pos,an_det,luach_noun,breise_adj,a_voc,chuirtear_vb.sub.aut,le_prep,hearraí_adj,nuair_sconj,a_voc,athruítear_vb.past.spec,iad_obj,ó_prep,amhábhair_noun,go_par,hábhair_noun,ar_rel,féidir_noun,úsáid_vn,a_voc,bhaint_vn,astu_prep,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,<START>_START,Tá_vb.pres,sé_sub,seo_dem,le_prep,feiceáil_vn,ón_prep,daonra_noun,ábhalmhór_noun,—_pun,timpeall_adv,100_num,milliún_num,san_dem,18ú_adj,aois_noun,—_pun,a_voc,bhí_vb.past,á_prep,choimeád_noun,ag_prep,an_det,gcóras_noun,seo_dem,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,<START>_START,Bhí_vb.past,smacht_sub,coilíneach_adj,ar_pos,mhórthír_det,na_det,hIndia_prop,faighte_adj,ag_prep,an_det,mBreatain_prop,faoin_prep,am_noun,seo_dem,;_pun,mar_sconj,sin_dem,",_pun",bhí_vb.past,rialtas_noun,na_det,Breataine_prop,in_prep,ann_prep,polasaithe_noun,díreacha_noun,a_voc,chur_vn,i_prep,bhfeidhm_noun,ar_rel,leas_noun,na_det,dtionsclóirí_noun,cadáis_noun,sa_prep,bhaile_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,<START>_START,Laistigh_adv,de_prep,30_num,bliain_noun,",_pun",bhí_vb.past,an_det,daonra_noun,laghdaithe_adj,go_par,dtí_noun,aon_qual,chúigiú_noun,den_prep,leibhéal_noun,seo_dem,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
