,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
0,<START>_START,Bhreathnaigh_vb.past,sé_sub,timpeall_adv,ar_prep,an_det,gceaintín_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,<START>_START,Mar_prep,sin_dem,féin_adj,rinne_vb.past,sé_sub,miongháire_noun,faoin_prep,teachtaireacht_noun,a_rel,bhí_vb.past,ag_prep,bun_noun,na_det,litreach_prop,óna_noun,mháthair_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,<START>_START,Níor_neg,thuig_vb.past,máthair_noun,Chaoimhín_prop,go_comp,raibh_vb.sub,sé_sub,in_prep,ann_prep,aire_noun,a_rel,thabhairt_vn,dó_prep,féin_adj,faoin_prep,am_noun,seo_dem,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,<START>_START,``_pun,An_det,bhfuil_vb.pres,tú_sub,chun_prep,an_det,lá_noun,iomlán_adj,a_rel,bhástáil_vn,anseo_adv,ag_prep,léamh_vn,litreach_noun,nó_conj,an_par,ndéanfaidh_vb.fut,tú_sub,roinnt_noun,oibre_noun,dúinn_prep,?_pun,''_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,<START>_START,Ní_neg,raibhsé_vb.past,Puinn_prop,níos_adj,boige_noun,ar_prep,a_rel,chomh-Eireannaigh_vn,ná_conj,mar_conj,a_rel,bhí_vb.past,sé_sub,ar_prep,na_det,hoibrithe_noun,eile_adj,san_dem,áit_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,<START>_START,Dúradh_vb.past.aut,faoi_prep,fhear_noun,amháin_adv,díobh_prep,gur_comp,rámhaigh_vb.ord,sé_sub,an_det,nócha_noun,míle_noun,ó_prep,Chúba_prop,go_par,Miami_prop,mbáidín_prop,beag_adj,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,<START>_START,Ar_prep,ndóigh_noun,ní_neg,raibh_vb.sub,dearcadh_vn,mar_conj,sin_dem,ag_prep,an_par,Súilleabhánach_prop,agus_sconj,chomh_adv,maith_adj,leis_prep,siúd_dem,ba_cop,dhuine_noun,beag_adj,searbhasach_adj,é_obj,Seán_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,<START>_START,Aisteach_adj,go_par,leor_adj,ba_cop,dhlúthchairde_noun,iad_obj,go_comp,dtí_noun,sin_dem,agus_conj,bhí_vb.past,cónaí_sub,orthu_prep,san_dem,árasán_noun,céanna_adj,ar_prep,feadh_prep,tamaill_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,<START>_START,Ag_prep,an_det,am_noun,céanna_adj,bhí_vb.past,sé_sub,ciúin_adj,agus_sconj,lách_adj,ann_prep,féin_adj,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,<START>_START,Bhain_vb.past,Tomás_prop,leis_prep,an_det,aicme_noun,úd_dem,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,<START>_START,Bhain_vb.past,Ó_prop,Súilleabháin_prop,",_pun",an_det,maor_noun,bagrach_noun,",_pun",mímhúinte_prop,",_pun",leis_prep,an_det,dara_adj,saghas_noun,Éireannach_adj,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,<START>_START,Ní_neg,chaitheadh_vb.pasthab,sé_sub,mórán_noun,ar_prep,bhia_noun,ná_conj,teas_noun,agus_conj,ní_neg,thugadh_vb.pasthab,sé_sub,aird_noun,ar_prep,bith_noun,ar_prep,áiseanna_noun,cultúrtha_adj,na_det,cathrach_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,<START>_START,Cé_adv,go_comp,raibh_vb.sub,Caoimhín_prop,cairdiúil_prop,le_prep,Seán_prop,rith_vb.past,sé_sub,leis_prep,uaireanta_noun,go_comp,bhféadfadh_vb.con,sé_sub,bheith_vn,crua_noun,go_par,leor_adj,ar_prep,an_det,bhfoireann_noun,dá_prep,mbeadh_vb.con,sé_sub,ceaptha_adj,mar_sconj,mhaor_adj,in_prep,ionad_noun,Uí_prop,Shúilleabháin_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,<START>_START,``_pun,Éist_vb.ord.syn,leo_prep,",_pun",''_pun,a_rel,deireadh_vb.pasthab,Seán_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,<START>_START,Dhiúltaigh_vb.past,Seán_prop,aon_adv,airgead_noun,a_rel,thabhairt_vn,dóibh_prep,riamh_adv,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,<START>_START,Bean_noun,óg_adj,",_pun",dathúil_noun,a_rel,bhí_vb.past,ann_prep,agus_conj,iarracht_noun,de_prep,bhlas_noun,iarthar_adv,na_par,hÉireann_prop,aici_prep,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
