,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
0,<START>_START,Dá_sconj,mbeadh_vb.con,ríalacha_noun,an_det,lae_noun,inniú_adv,ann_prep,an_det,uair_noun,sin_dem,an_det,bhfaighfeadh_vb.con,Pádraig_prop,Mac_prop,Piarais_prop,cead_noun,pleanála_noun,le_prep,haghaidh_noun,teach_noun,i_prep,Ros_prop,Muc_prop,?_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,<START>_START,Sampla_noun,neamh-ghnáthach_prep,",_pun",adeir_vb.pres,tú_sub,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,<START>_START,Má_sconj,chaitheann_vb.pres,muid_sub,súil_noun,siar_adv,roinnt_noun,bhlianta_noun,beidh_vb.fut,an_det,t-údar_noun,atá_vb.pres,leis_prep,na_det,srianta_noun,ar_rel,thithe_noun,saoire_noun,i_prep,gceantair_noun,áirithe_adj,tuaithe_noun,sna_prep,contaetha_adj,Gaeltachta_prop,soiléir_adj,go_par,maith_adj,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,<START>_START,Is_cop,é_obj,atá_vb.pres,ann_prep,ná_conj,polasaí_noun,go_cop,bhfágfaí_vb.con.aut,an_det,taobh_noun,tíre_noun,mar_conj,atá_vb.pres,sé_sub,chomh_adv,mór_adj,agus_conj,is_cop,féidir_noun,..._pun,ar_rel,chúiseanna_noun,timpeallachta_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,<START>_START,Le_prep,gairid_noun,",_pun",tá_vb.pres,coinníollacha_noun,mar_conj,sin_dem,a_pos,bhaineann_vb.pres,le_prep,cúrsaí_noun,caomhnaithe_adj,Gaeilge_prop,dá_prep,gcur_vn,ar_rel,thithe_noun,i_prep,roinnt_noun,cheantair_noun,Ghaeltachta_prop,",_pun",ach_conj,is_sconj,scéimeanna_rel,tithe_noun,atá_vb.pres,i_prep,gceist_noun,sna_prep,cásanna_noun,sin_dem,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,<START>_START,Chuile_qual,sheans_noun,gurb_cop,iad_obj,lucht_noun,na_par,turasóireachta_adj,sna_prep,ceantair_noun,éagsúla_adj,a_pos,thosaigh_vb.past,an_det,chaint_noun,ba_cop,thréine_adj,in_prep,aghaidh_noun,na_det,dtithe_noun,seo_dem,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,<START>_START,Tá_vb.pres,an_det,argóint_noun,faoi_prep,thithe_noun,saoire_noun,níos_adj,casta_adj,ná_conj,sin_dem,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,<START>_START,Tharla_vb.past,sé_sub,gur_comp,dúnadh_vb.past.aut,go_par,leor_adj,tithe_noun,de_prep,réir_prep,a_pos,chéile_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,<START>_START,Chuir_vb.past,mé_sub,ceist_noun,le_prep,gairid_noun,ar_rel,fhear_noun,atá_vb.pres,ina_prep,chónaí_noun,in_prep,áit_noun,a_voc,bhfuil_vb.pres,go_par,leor_adj,tithe_noun,áitiúla_adj,díolta_adj,mar_conj,thithe_noun,saoire_noun,anois_adv,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,<START>_START,Níl_vb.pres,aon_qual,obair_noun,san_dem,áit_noun,agus_conj,níl_vb.pres,aon_qual,dóchas_noun,ag_prep,formhór_noun,na_det,ndaoine_noun,go_comp,mbeidh_vb.fut,obair_noun,san_dem,áit_noun,._pun,''_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
