,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
0,<START>_START,Mheasfadh_vb.con,duine_noun,go_comp,dtabharfadh_vb.con,Brian_prop,О_prop,Conchubhair_prop,dúshlán_noun,Uí_prop,Ruairc_prop,anseo_adv,trína_prep,léiriú_vn,go_comp,bhfuil_vb.pres,comharthaí_sub,sóirt_noun,fin_noun,de_prep,siècle_noun,na_par,hEorpa_prop,le_prep,haithint_noun,i_prep,ngluaiseacht_noun,chomhaimseartha_adj,na_noun,Gaeilge_prop,freisin_adv,:_pun,``_pun,Má_sconj,ghéilltear_vb.sub.aut,",_pun",mar_noun,a_rel,dhéantar_vb.sub.aut,go_par,hiondúil_noun,",_pun",don_prep,ollscéal_noun,gur_comp,athleagan_noun,den_prep,náisiúnachas_noun,cultúrtha_adj,Gearmánach_prop,amháin_adv,í_obj,Athbheochan_prop,na_noun,Gaeilge_prop,",_pun",déantar_vb.ord.aut,í_obj,a_par,dheighilt_noun,ón_prep,trasfhoirmiú_noun,tuisceana_noun,a_rel,thit_vb.past,amach_adv,san_dem,eolaíocht_noun,agus_noun,sa_prep,staidéar_noun,daonna_adj,de_prep,bharr_noun,fhionnachtana_noun,Darwin_prop,agus_noun,na_noun,scoláirí_noun,a_rel,spreag_vb.past,sé_cop,._pun,<END>_END,,,,,,,,,,,,,
1,<START>_START,Más_sconj,ea_obj,fhéin_adj,",_pun",ar_prep,bharr_noun,an_det,leathanaigh_noun,chéanna_adj,sin_dem,",_pun",deir_vb.pres,Ó_prop,Conchubhair_prop,:_pun,``_pun,Is_cop,é_obj,ceann_noun,de_prep,bhunargóintí_noun,an_det,leabhair_noun,seo_dem,go_comp,raibh_vb.sub,dioscúrsa_noun,an_det,mheathlaithe_noun,agus_noun,dioscúrsa_noun,na_noun,fola_noun,lárnach_adj,sna_prep,hidé-eolaíochtaí_noun,a_rel,spreag_vb.past,",_pun",a_rel,mhúnlaigh_vb.past,agus_noun,a_par,chomhairligh_noun,gluaiseacht_noun,na_noun,Gaeilge_prop,le_prep,linn_prep,na_par,hAthbheochana_prop,._pun,''_prop,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,<START>_START,Tháinig_vb.past,cuid_noun,mhór_adj,de_prep,theoiricí_noun,an_det,fin_noun,de_prep,siècle_noun,le_prep,chéile_noun,sa_prep,léacht_noun,sin_dem,:_pun,an_det,náisiúnachas_noun,cultúrtha_adj,",_pun",an_det,meathlú_noun,",_pun",díothú_vn,na_noun,gciníocha_noun,",_pun",an_noun,cros-síolrú_vn,agus_noun,meascadh_vn,na_noun,fola_noun,-_pun,agus_noun,iad_obj,ag_prep,múnlú_noun,idé-eolaíochtaí_noun,na_par,hAthbheochana_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,<START>_START,Bhí_vb.past,meathlú_sub,impireacht_adj,na_par,Breataine_prop,i_prep,gceist_noun,agus_conj,ba_cop,rud_noun,fisiciúil_adj,cuid_noun,mhaith_noun,a_rel,bhí_vb.past,ansin_adv,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,<START>_START,Leabhar_noun,tábhachtach_adj,tathagach_noun,staire_noun,(_pun,258_num,lch_abbr,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,<START>_START,Leabhar_noun,tábhachtach_adj,",_pun",mar_sconj,a_rel,deirim_vb.pres.syn,",_pun",aon_adv,leabhar_noun,a_rel,phléann_vb.pres,raison_sub,do_prep,'être_noun,na_par,hAthbheochana_prop,go_comp,bhfuilimid_vb.pres.syn,ar_prep,fad_noun,sáite_adj,ann_prep,ar_prep,shlí_noun,éigin_qual,;_pun,leabhar_noun,a_rel,bhainfidh_vb.fut,craitheadh_vb.past.aut,as_prep,ár_noun,seantuiscintí_noun,agus_noun,as_prep,an_par,``_pun,éiginnteacht_noun,''_prop,atá_vb.pres,ionainn_noun,agus_noun,arb_noun,í_obj,``_pun,is_adv,sainghné_noun,don_prep,Ghaeilge_prop,''_prop,",_pun",dar_prep,le_prep,Maolmhaodhóg_prop,Ó_prop,Ruairc_prop,ina_prep,leabhar_noun,Ar_prep,Thóir_prop,Gramadach_prop,Nua_prop,(_pun,Cois_prop,Life_eng,",_pun",2006_num,)_pun,Leabhar_noun,cuimsitheach_adj,é_obj,Fin_prop,de_prep,Siècle_prop,na_noun,Gaeilge_prop,ina_prep,bhfuil_vb.pres,soiléirsí_sub,agus_noun,léargais_noun,faoi_prep,nithe_noun,amhail_adv,na_noun,canúintí_noun,",_pun",an_det,ghramadach_noun,",_pun",an_det,t-úrscéal_noun,._pun,<END>_END,,
6,<START>_START,Nó_conj,",_pun",maidir_prep,leis_prep,na_det,canúintí_noun,",_pun",gur_comp,go_comp,Chath_prop,Chionn_prop,tSáile_prop,",_pun",dar_prep,le_prep,Nicholas_prop,Williams_prop,",_pun",tionchar_noun,chanúintí_noun,na_det,Gaeilge_prop,le_prep,brath_noun,ar_prep,scríbhneoireacht_noun,na_det,Gaeilge_prop,den_prep,chéad_adj,uair_sconj,?_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,<START>_START,Dúshlán_noun,eile_adj,a_rel,bhí_vb.past,le_prep,sárú_noun,leabhair_noun,is_cop,ea_obj,dúshlán_noun,na_det,téarmaíochta_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,<START>_START,Go_par,leor_adj,den_prep,fhianaise_noun,is_cop,gá_noun,a_rel,chur_vn,i_prep,láthair_noun,an_det,léitheora_noun,i_prep,dtráchtas_noun,athbhreithnitheach_adj,dá_prep,leithéid_noun,seo_dem,is_cop,ábhar_noun,tuirsiúil_adj,seansiúlta_adj,é_obj,dár_prep,bhformhór_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,<START>_START,Ar_prep,na_det,cuntáis_noun,is_cop,suimiúla_adj,sa_prep,leabhar_noun,tá_vb.pres,an_det,chonspóid_noun,idir_prep,bheirt_num,anaithnid_adj,a_rel,aithnítear_vb.sub.aut,as_prep,a_pos,n-ionad_noun,cónaithe_noun,cathrach_adj,nó_conj,tuaithe_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
