,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
0,<START>_START,Mheasfadh_vb.past,duine_noun,go_comp,dtabharfadh_vb.con,Brian_prop,О_abbr,Conchubhair_prop,dúshlán_noun,Uí_prop,Ruairc_prop,anseo_adv,trína_prep,léiriú_vn,go_comp,bhfuil_vb.pres,comharthaí_noun,sóirt_noun,fin_noun,de_prep,siècle_noun,na_det,hEorpa_prop,le_prep,haithint_noun,i_prep,ngluaiseacht_noun,chomhaimseartha_adj,na_par,Gaeilge_prop,freisin_adv,:_pun,``_pun,Má_sconj,ghéilltear_rel,",_pun",mar_sconj,a_voc,dhéantar_vb.sub.aut,go_par,hiondúil_vb.pres,",_pun",don_prep,ollscéal_noun,gur_comp,athleagan_prop,den_prep,náisiúnachas_noun,cultúrtha_adj,Gearmánach_prop,amháin_num,í_obj,Athbheochan_prop,na_par,Gaeilge_prop,",_pun",déantar_vb.ord.aut,í_obj,a_voc,dheighilt_vb.past.spec,ón_prep,trasfhoirmiú_vb.past.spec,tuisceana_noun,a_voc,thit_vb.past,amach_adv,san_dem,eolaíocht_noun,agus_conj,sa_prep,staidéar_noun,daonna_adj,de_prep,bharr_noun,fhionnachtana_prep,Darwin_prop,agus_sconj,na_par,scoláirí_prop,a_voc,spreag_vb.past,sé_sub,._pun,<END>_END,,,,,,,,,,,,,
1,<START>_START,Más_vn,ea_obj,fhéin_adv,",_pun",ar_rel,bharr_noun,an_det,leathanaigh_noun,chéanna_adj,sin_dem,",_pun",deir_vb.pres,Ó_int,Conchubhair_prop,:_pun,``_pun,Is_cop,é_obj,ceann_noun,de_prep,bhunargóintí_det,an_det,leabhair_noun,seo_dem,go_cop,raibh_vb.sub,dioscúrsa_sub,an_det,mheathlaithe_pun,agus_sconj,dioscúrsa_sub,na_det,fola_noun,lárnach_adj,sna_prep,hidé-eolaíochtaí_noun,a_voc,spreag_vb.past,",_pun",a_voc,mhúnlaigh_vb.past,agus_sconj,a_voc,chomhairligh_vb.past.spec,gluaiseacht_noun,na_par,Gaeilge_prop,le_prep,linn_prep,na_par,hAthbheochana_prop,._pun,''_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,<START>_START,Tháinig_vb.past,cuid_noun,mhór_adj,de_prep,theoiricí_det,an_det,fin_noun,de_prep,siècle_noun,le_prep,chéile_noun,sa_prep,léacht_noun,sin_dem,:_pun,an_det,náisiúnachas_noun,cultúrtha_adj,",_pun",an_par,meathlú_vn,",_pun",díothú_vn,na_det,gciníocha_noun,",_pun",an_det,cros-síolrú_noun,agus_conj,meascadh_cop,na_par,fola_noun,-_pun,agus_conj,iad_obj,ag_prep,múnlú_noun,idé-eolaíochtaí_noun,na_par,hAthbheochana_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,<START>_START,Bhí_vb.past,meathlú_vn,impireacht_noun,na_det,Breataine_prop,i_prep,gceist_noun,agus_conj,ba_cop,rud_noun,fisiciúil_adj,cuid_noun,mhaith_noun,a_voc,bhí_vb.past,ansin_adv,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,<START>_START,Leabhar_noun,tábhachtach_adj,tathagach_vb.past.spec,staire_noun,(_pun,258_END,lch_abbr,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,<START>_START,Leabhar_noun,tábhachtach_adj,",_pun",mar_sconj,a_voc,deirim_vb.pres.syn,",_pun",aon_qual,leabhar_noun,a_voc,phléann_vb.pres,raison_noun,do_prep,'être_noun,na_prop,hAthbheochana_prop,go_par,bhfuilimid_vb.pres.syn,ar_rel,fad_noun,sáite_sub,ann_prep,ar_rel,shlí_noun,éigin_qual,;_pun,leabhar_noun,a_voc,bhainfidh_for,craitheadh_vb.past.spec,as_prep,ár_pos,seantuiscintí_noun,agus_conj,as_prep,an_det,``_pun,éiginnteacht_adj,''_pun,atá_vb.pres,ionainn_noun,agus_conj,arb_noun,í_obj,``_pun,is_sconj,sainghné_eng,don_prep,Ghaeilge_prop,''_prop,",_pun",dar_prep,le_prep,Maolmhaodhóg_prop,Ó_int,Ruairc_prop,ina_prep,leabhar_noun,Ar_prep,Thóir_prop,Gramadach_prop,Nua_prop,(_pun,Cois_prop,Life_eng,",_pun",2006_pun,)_pun,Leabhar_noun,cuimsitheach_adj,é_obj,Fin_prop,de_prep,Siècle_prop,na_par,Gaeilge_prop,ina_prep,bhfuil_vb.pres,soiléirsí_sub,agus_noun,léargais_noun,faoi_prep,nithe_noun,amhail_noun,na_det,canúintí_noun,",_pun",an_det,ghramadach_noun,",_pun",an_det,t-úrscéal_noun,._pun,<END>_END,,
6,<START>_START,Nó_conj,",_pun",maidir_prep,leis_prep,na_det,canúintí_noun,",_pun",gur_comp,go_comp,Chath_prop,Chionn_prop,tSáile_prop,",_pun",dar_prep,le_prep,Nicholas_prop,Williams_prop,",_pun",tionchar_sub,chanúintí_pun,na_par,Gaeilge_prop,le_prep,brath_noun,ar_rel,scríbhneoireacht_noun,na_par,Gaeilge_prop,den_prep,chéad_adj,uair_noun,?_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,<START>_START,Dúshlán_vb.past,eile_qual,a_voc,bhí_vb.past,le_prep,sárú_noun,leabhair_noun,is_cop,ea_obj,dúshlán_noun,na_det,téarmaíochta_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,<START>_START,Go_par,leor_adj,den_prep,fhianaise_noun,is_cop,gá_noun,a_voc,chur_vn,i_prep,láthair_noun,an_det,léitheora_noun,i_prep,dtráchtas_det,athbhreithnitheach_pun,dá_prep,leithéid_noun,seo_dem,is_eng,ábhar_noun,tuirsiúil_noun,seansiúlta_obj,é_obj,dár_prep,bhformhór_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,<START>_START,Ar_prep,na_par,cuntáis_vb.past.spec,is_eng,suimiúla_obj,sa_prep,leabhar_noun,tá_vb.pres,an_det,chonspóid_noun,idir_prep,bheirt_num,anaithnid_prep,a_voc,aithnítear_vb.sub.aut,as_prep,a_voc,n-ionad_noun,cónaithe_noun,cathrach_noun,nó_conj,tuaithe_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
