,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,<START>_START,Más_sconj,ea_obj,fhéin_adj,",_pun",ar_rel,bharr_noun,an_det,leathanaigh_noun,chéanna_adj,sin_dem,",_pun",deir_vb.pres,Ó_prop,Conchubhair_prop,:_pun,``_pun,Is_cop,é_obj,ceann_noun,de_prep,bhunargóintí_noun,an_det,leabhair_noun,seo_dem,go_comp,raibh_vb.sub,dioscúrsa_sub,an_det,mheathlaithe_noun,agus_conj,dioscúrsa_noun,na_det,fola_noun,lárnach_adj,sna_prep,hidé-eolaíochtaí_noun,a_voc,spreag_vb.past,",_pun",a_voc,mhúnlaigh_vb.past,agus_noun,a_rel,chomhairligh_vn,gluaiseacht_noun,na_par,Gaeilge_prop,le_prep,linn_prep,na_det,hAthbheochana_prop,._pun,''_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,<START>_START,Tháinig_vb.past,cuid_noun,mhór_adj,de_prep,theoiricí_noun,an_det,fin_noun,de_prep,siècle_noun,le_prep,chéile_noun,sa_prep,léacht_noun,sin_dem,:_pun,an_det,náisiúnachas_noun,cultúrtha_adj,",_pun",an_par,meathlú_prop,",_pun",díothú_vn,na_det,gciníocha_noun,",_pun",an_det,cros-síolrú_noun,agus_conj,meascadh_prep,na_det,fola_noun,-_pun,agus_conj,iad_obj,ag_prep,múnlú_noun,idé-eolaíochtaí_noun,na_par,hAthbheochana_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,<START>_START,Bhí_vb.past,meathlú_noun,impireacht_noun,na_par,Breataine_prop,i_prep,gceist_noun,agus_conj,ba_cop,rud_noun,fisiciúil_adj,cuid_noun,mhaith_noun,a_voc,bhí_vb.past,ansin_adv,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,<START>_START,Nó_conj,",_pun",maidir_prep,leis_prep,na_det,canúintí_noun,",_pun",gur_cop,go_par,Chath_prop,Chionn_prop,tSáile_prop,",_pun",dar_prep,le_prep,Nicholas_prop,Williams_prop,",_pun",tionchar_noun,chanúintí_prep,na_det,Gaeilge_prop,le_prep,brath_noun,ar_rel,scríbhneoireacht_noun,na_par,Gaeilge_prop,den_prep,chéad_adj,uair_noun,?_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,<START>_START,Dúshlán_cop,eile_adj,a_pos,bhí_vb.past,le_prep,sárú_noun,leabhair_noun,is_cop,ea_obj,dúshlán_noun,na_par,téarmaíochta_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,<START>_START,Go_par,leor_adj,den_prep,fhianaise_noun,is_cop,gá_noun,a_rel,chur_vn,i_prep,láthair_noun,an_det,léitheora_noun,i_prep,dtráchtas_noun,athbhreithnitheach_noun,dá_prep,leithéid_noun,seo_dem,is_cop,ábhar_noun,tuirsiúil_pun,seansiúlta_END,é_obj,dár_prep,bhformhór_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,<START>_START,Ar_prep,na_det,cuntáis_noun,is_cop,suimiúla_obj,sa_prep,leabhar_noun,tá_vb.pres,an_det,chonspóid_noun,idir_prep,bheirt_num,anaithnid_pun,a_voc,aithnítear_vb.sub.aut,as_prep,a_pos,n-ionad_noun,cónaithe_noun,cathrach_adj,nó_conj,tuaithe_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
