,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
0,<START>,Mheasfadh,duine,go,dtabharfadh,Brian,О,Conchubhair,dúshlán,Uí,Ruairc,anseo,trína,léiriú,go,bhfuil,comharthaí,sóirt,fin,de,siècle,na,hEorpa,le,haithint,i,ngluaiseacht,chomhaimseartha,na,Gaeilge,freisin,:,``,Má,ghéilltear,",",mar,a,dhéantar,go,hiondúil,",",don,ollscéal,gur,athleagan,den,náisiúnachas,cultúrtha,Gearmánach,amháin,í,Athbheochan,na,Gaeilge,",",déantar,í,a,dheighilt,ón,trasfhoirmiú,tuisceana,a,thit,amach,san,eolaíocht,agus,sa,staidéar,daonna,de,bharr,fhionnachtana,Darwin,agus,na,scoláirí,a,spreag,sé,.,<END>,,,,,,,,,,,,,
1,<START>,Más,ea,fhéin,",",ar,bharr,an,leathanaigh,chéanna,sin,",",deir,Ó,Conchubhair,:,``,Is,é,ceann,de,bhunargóintí,an,leabhair,seo,go,raibh,dioscúrsa,an,mheathlaithe,agus,dioscúrsa,na,fola,lárnach,sna,hidé-eolaíochtaí,a,spreag,",",a,mhúnlaigh,agus,a,chomhairligh,gluaiseacht,na,Gaeilge,le,linn,na,hAthbheochana,.,'',<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,<START>,Tháinig,cuid,mhór,de,theoiricí,an,fin,de,siècle,le,chéile,sa,léacht,sin,:,an,náisiúnachas,cultúrtha,",",an,meathlú,",",díothú,na,gciníocha,",",an,cros-síolrú,agus,meascadh,na,fola,-,agus,iad,ag,múnlú,idé-eolaíochtaí,na,hAthbheochana,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,<START>,Bhí,meathlú,impireacht,na,Breataine,i,gceist,agus,ba,rud,fisiciúil,cuid,mhaith,a,bhí,ansin,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,<START>,Leabhar,tábhachtach,tathagach,staire,(,258,lch,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,<START>,Leabhar,tábhachtach,",",mar,a,deirim,",",aon,leabhar,a,phléann,raison,do,'être,na,hAthbheochana,go,bhfuilimid,ar,fad,sáite,ann,ar,shlí,éigin,;,leabhar,a,bhainfidh,craitheadh,as,ár,seantuiscintí,agus,as,an,``,éiginnteacht,'',atá,ionainn,agus,arb,í,``,is,sainghné,don,Ghaeilge,'',",",dar,le,Maolmhaodhóg,Ó,Ruairc,ina,leabhar,Ar,Thóir,Gramadach,Nua,(,Cois,Life,",",2006,),Leabhar,cuimsitheach,é,Fin,de,Siècle,na,Gaeilge,ina,bhfuil,soiléirsí,agus,léargais,faoi,nithe,amhail,na,canúintí,",",an,ghramadach,",",an,t-úrscéal,.,<END>,,
6,<START>,Nó,",",maidir,leis,na,canúintí,",",gur,go,Chath,Chionn,tSáile,",",dar,le,Nicholas,Williams,",",tionchar,chanúintí,na,Gaeilge,le,brath,ar,scríbhneoireacht,na,Gaeilge,den,chéad,uair,?,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,<START>,Dúshlán,eile,a,bhí,le,sárú,leabhair,is,ea,dúshlán,na,téarmaíochta,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,<START>,Go,leor,den,fhianaise,is,gá,a,chur,i,láthair,an,léitheora,i,dtráchtas,athbhreithnitheach,dá,leithéid,seo,is,ábhar,tuirsiúil,seansiúlta,é,dár,bhformhór,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,<START>,Ar,na,cuntáis,is,suimiúla,sa,leabhar,tá,an,chonspóid,idir,bheirt,anaithnid,a,aithnítear,as,a,n-ionad,cónaithe,cathrach,nó,tuaithe,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
