,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,<START>_START,Más_vn,ea_obj,fhéin_adj,",_pun",ar_prep,bharr_noun,an_det,leathanaigh_noun,chéanna_adj,sin_dem,",_pun",deir_vb.pres,Ó_int,Conchubhair_prop,:_pun,``_pun,Is_cop,é_obj,ceann_noun,de_prep,bhunargóintí_noun,an_det,leabhair_noun,seo_dem,go_par,raibh_be.sub,dioscúrsa_END,an_par,mheathlaithe_vn.fut,agus_sconj,dioscúrsa_sub,na_par,fola_prep,lárnach_pun,sna_prep,hidé-eolaíochtaí_noun,a_voc,spreag_vb.past,",_pun",a_voc,mhúnlaigh_vb.past,agus_sconj,a_voc,chomhairligh_vn.fut,gluaiseacht_noun,na_par,Gaeilge_prop,le_prep,linn_prep,na_det,hAthbheochana_prop,._pun,''_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,
1,<START>_START,Tháinig_vb.past,cuid_noun,mhór_adj,de_prep,theoiricí_det,an_det,fin_noun,de_prep,siècle_det,le_prop,chéile_qual,sa_prep,léacht_noun,sin_dem,:_pun,an_det,náisiúnachas_noun,cultúrtha_adj,",_pun",an_par,meathlú_prep,",_pun",díothú_vn,na_det,gciníocha_noun,",_pun",an_prop,cros-síolrú_vb.past,agus_sconj,meascadh_for,na_par,fola_adj,-_pun,agus_conj,iad_obj,ag_pos,múnlú_noun,idé-eolaíochtaí_prep,na_par,hAthbheochana_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,<START>_START,Bhí_be.past,meathlú_prop,impireacht_noun,na_par,Breataine_prop,i_prep,gceist_noun,agus_conj,ba_cop,rud_noun,fisiciúil_prep,cuid_noun,mhaith_noun,a_voc,bhí_be.past,ansin_adv,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,<START>_START,Nó_conj,",_pun",maidir_prep,leis_prep,na_det,canúintí_noun,",_pun",gur_comp,go_comp,Chath_prop,Chionn_prop,tSáile_prop,",_pun",dar_prep,le_prep,Nicholas_prop,Williams_prop,",_pun",tionchar_prep,chanúintí_det,na_det,Gaeilge_prop,le_prep,brath_noun,ar_prep,scríbhneoireacht_noun,na_par,Gaeilge_prop,den_prep,chéad_adj,uair_noun,?_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,<START>_START,Dúshlán_prep,eile_qual,a_voc,bhí_be.past,le_prep,sárú_noun,leabhair_noun,is_cop,ea_obj,dúshlán_noun,na_det,téarmaíochta_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,<START>_START,Go_par,leor_adj,den_prep,fhianaise_noun,is_eng,gá_noun,a_voc,chur_vn,i_prep,láthair_noun,an_det,léitheora_prep,i_prep,dtráchtas_prop,athbhreithnitheach_pun,dá_prep,leithéid_noun,seo_dem,is_eng,ábhar_noun,tuirsiúil_noun,seansiúlta_END,é_obj,dár_prep,bhformhór_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,<START>_START,Ar_prep,na_par,cuntáis_vn.fut,is_conj,suimiúla_obj,sa_prep,leabhar_noun,tá_be.pres,an_det,chonspóid_noun,idir_prep,bheirt_num,anaithnid_prep,a_voc,aithnítear_vb.sub.aut,as_eng,a_voc,n-ionad_noun,cónaithe_noun,cathrach_noun,nó_conj,tuaithe_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,<START>_START,Chuir_vb.past,'Fear_sub,na_par,Tuaithe_prop,'_prop,ina_prep,choinne_noun,sin_dem,go_par,léir_adj,agus_sconj,mhaígh_END,sé_cop,-_pun,mar_sconj,a_voc,dhéanfadh_vb.con,an_par,Corcorach_prop,in_prep,Humanitas_prop,ar_prep,ball_noun,!_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,<START>_START,Is_cop,é_obj,pointe_noun,a_voc,bhaineann_vb.pres,Ó_int,Conchubhair_prop,as_eng,an_det,aighneas_noun,seo_dem,gur_comp,mór_prop,an_det,trua_noun,nár_cop,tapaíodh_be.pres,deis_noun,na_par,hargóna_prop,nó_conj,nár_cop,glacadh_vb.past.aut,léi_prep,mar_sconj,chuid_noun,de_prep,dhioscúrsa_noun,na_par,hAthbheochana_prop,feasta_adj,:_pun,``_pun,Níor_neg,ghlac_vb.past,aon_qual,duine_noun,seachas_adv,'Fear_sub,na_par,Tuaithe_prop,'_prop,leis_prep,an_det,dúshlán_noun,a_voc,chruthaigh_vn.fut,'Fear_sub,na_par,Cathrach_prop,'_prop,",_pun",agus_conj,níor_cop,glacadh_vb.past.aut,leis_prep,an_par,díospóireacht_prop,mar_prep,chuid_noun,de_prep,chanóin_adj,na_det,hAthbheochana_prop,ar_pos,chúiseanna_det,nach_comp,eol_noun,nó_conj,nach_cop,léir_adj,dúinn_prep,inniu_adv,._pun,''_pun,<END>_END,,,
9,<START>_START,Ní_noun,phléifear_vn.fut,stair_noun,Athbheochan_prop,na_par,Gaeilge_prop,feasta_adj,gan_prep,ionad_noun,seasta_adj,sa_prep,díospóireacht_prop,a_voc,bheith_vn,ag_pos,Fin_prop,de_prep,Siècle_prop,na_par,Gaeilge_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
