,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
0,<START>_START,Ba_cop,mhór_adj,uilig_adj,an_det,t-éagóir_noun,agus_conj,an_det,leatrom_noun,ar_prep,fheara_noun,Éireann_prop,an_det,dlí_noun,sin_dem,—_pun,dá_prep,gcuirtí_vb.pasthab.aut,i_prep,bhfeidhm_noun,é_obj,._pun,Ach_conj,(_pun,cúis_noun,bhróid_prep,do_par,Ghaela_prop,)_pun,níor_neg,cuireadh_vb.ord,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,<START>_START,Agus_conj,faoin_prep,mbliain_noun,1603_num,bhí_be.past,tuairisceoir_noun,darb_prep,ainm_noun,Bodly_prop,in_prep,ann_prep,a_rel,rá_vn,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,<START>_START,Bé_cop,an_det,faisiún_noun,an_det,uair_noun,sin_dem,síol_prep,finéal_noun,agus_conj,rísíní_noun,a_rel,chur_vn,san_prep,uisce_noun,beatha_adj,agus_conj,an_det,fhíon_noun,a_rel,mheascadh_eng,le_prep,mil_noun,",_pun",sinséar_END,",_pun",cainéal_prep,agus_noun,piobar_prep,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,<START>_START,Rinne_vb.past,Giraldus_prop,Cambrensis_prop,tagairt_vn,don_prep,dúil_noun,a_rel,bhí_be.past,ag_prep,muintir_noun,na_det,tíre_noun,seo_dem,ann_prep,agus_conj,fear_noun,maith_adj,fíona_prep,",_pun",de_prep,réir_prep,tuairisce_noun,",_pun",ab_cop,ea_obj,Lorcán_prop,Ó_prop,Tuathail_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,<START>_START,Bhí_be.past,cáil_noun,na_det,féile_noun,freisin_adv,ar_par,Phádraig_prop,Sáirséal_prop,a_rel,bhí_be.past,ina_prep,mhaor_noun,ar_par,Bhaile_prop,Átha_prop,Cliath_prop,sa_prep,mbliain_noun,1554_num,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,<START>_START,Bhíodh_be.pasthab,a_rel,theach_noun,ar_prep,oscailt_adj,óna_prep,cúig_num,a_rel,chlog_noun,ar_prep,maidin_noun,go_comp,dtí_prep,a_rel,deich_num,san_prep,oíche_noun,",_pun",an_det,síléar_noun,lán_adj,do_prep,'aíonna_noun,a_rel,do_par,'óladh_adj,i_prep,rith_prep,na_det,bliana_noun,20_num,dabhach_noun,claret_prep,gan_prep,trácht_vb.ord.syn,ar_prep,fhíon_noun,bán_adj,",_pun",seiriss_prep,malmesie_noun,agus_noun,eile_qual,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,<START>_START,Leagadh_vb.past.aut,síos_adv,sa_prep,Magna_prop,Charta_prop,Civitatis_prop,Dublini_prop,nach_comp,mbeadh_be.con,cead_noun,ag_prep,aon_adv,eachtrannach_prep,fíon_noun,a_rel,dhíol_vb.past,ach_conj,amháin_num,ar_prep,bhord_noun,loinge_prep,agus_conj,go_comp,mbeadh_be.con,sé_sub,de_prep,cheart_noun,ag_prep,báille_noun,an_noun,rí_noun,dhá_prep,oigiséad_noun,a_rel,bhaint_vn,as_prep,gach_qual,long_noun,a_rel,chuirfeadh_vb.con,isteach_prep,ag_prep,céibheanna_noun,na_noun,cathrach_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,<START>_START,Ar_prep,feadh_prep,i_prep,bhfad_noun,bhí_be.past,gnó_noun,maith_adj,á_prep,dhéanamh_vn,againn_prep,ag_prep,díol_vb.ord.syn,fíona_prep,leis_prep,na_par,Sasanaigh_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,<START>_START,Sa_prep,mbliain_noun,1229_num,",_pun",mar_prep,shampla_noun,",_pun",chuireamar_vb.past.syn,55_num,oigiséad_noun,agus_conj,píopa_noun,fíona_sub,chuig_prep,arm_noun,an_det,rí_noun,in_prep,Albain_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,<START>_START,Ba_cop,í_obj,Sráid_prop,na_par,dTábhairne_prop,Fíona_prop,",_pun",vicus_noun,tabernariorum_pun,vini_END,sna_prep,seancháipéisí_noun,",_pun",príomh-chathair_prep,na_noun,meisce_prep,agus_noun,ina_prep,thuairisc_noun,don_prep,Tiarna_prop,Salisbury_prop,deir_vb.pres,Barnaby_prop,Rych_prop,sa_prep,17ú_adj,aois_noun,gurb_cop,é_obj,an_noun,t-ól_prep,smior_noun,na_noun,cathrach_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,<START>_START,Tá_be.pres,sráideanna_noun,sa_prep,gcathair_noun,",_pun",ar_pos,seisean_sub,",_pun",nach_comp,bhfuil_be.pres,iontu_prep,ach_conj,tábhairní_noun,ionas_adv,go_comp,bhfuil_be.pres,sráid_sub,gan_prep,tábhairne_noun,chomh_adv,gann_adj,i_prep,mBaile_prop,Átha_prop,Cliath_prop,le_prep,tábhairne_noun,gan_prep,striapach_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,<START>_START,Ag_prep,trácht_vb.ord.syn,ar_prep,leann_det,",_pun",deir_vb.pres,sé_sub,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,<START>_START,Is_cop,cosúil_adj,",_pun",mar_sconj,sin_dem,féin_adj,",_pun",nach_comp,raibh_be.sub,aon_adv,ghanntanas_pun,custaiméirí_END,orthu_prep,mar_prep,in_prep,aimsir_noun,Shéarlais_prop,II_prop,comhairíodh_prop,1_num,",_pun",",180_prep",tábhairne_noun,agus_noun,91_num,bríbhéireachta_noun,i_prep,mBaile_prop,Átha_prop,Cliath_prop,",_pun",cathair_prep,nach_comp,raibh_be.sub,inti_prep,san_prep,am_noun,ach_prep,4_num,",_pun",",000_END",teaghlach_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,<START>_START,Níorbh_cop,fhada_adj,óna_prep,chéile_noun,",_pun",400_num,bliain_noun,ó_prep,shin_dem,",_pun",na_det,tábhairní_prop,agus_conj,na_det,heaglaisí_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,<START>_START,Bhí_be.past,rogha_pun,leathan_END,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,<START>_START,Ach_conj,in_prep,ionad_noun,bheith_vn,sásta_adj,neadú_prep,faoi_prep,bhun_noun,ballaí_prep,na_det,heaglaise_noun,bhrú_prop,lucht_noun,an_det,óil_vn,isteach_adv,sa_prep,bhfoirgneamh_noun,naofa_adj,fhéin_adj,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,<START>_START,I_prep,1548_num,tugadh_vb.ord,léas_noun,tábhairne_prep,i_prep,lusca_det,na_prop,heaglaise_prop,do_par,Arland_prop,Ussher_prop,i_prep,measc_prep,daoine_noun,eile_adj,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,<START>_START,Ag_prep,cur_vn,síos_adv,ar_prep,staid_noun,na_det,dtithe_noun,pobail_noun,in_prep,aimsir_noun,Shéarlais_prop,I_prep,",_pun",dúirt_vb.past,an_par,Dr._prop,Bramhall_prop,gur_cop,mhór_adj,an_det,scannal_noun,na_det,himeachtaí_noun,thíos_adv,faoi_prep,bhun_noun,Eaglais_prop,Chríost_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,<START>_START,Níor_neg,ró-fhada_adj,ina_prep,dhiaidh_prep,sin_dem,gur_cop,fritheadh_noun,taisce_prep,airm_noun,faoi_prep,cheilt_noun,san_prep,ardeaplais_noun,)_pun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
